General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,lat,lng,Location,Distributor Name,Distributor Contact (Phone)
Madhya Pradesh,Indore,Other,Notes: Sewa Vahan,,22.7195687,75.8577258,Indore,Geeta Bhawan Trust,[]
Madhya Pradesh,Indore,Oxygen,Notes: Oxygen concentrator on rent,,22.7195687,75.8577258,Indore,Reshtriy Jain Shwetamber Trust,"['+918223904702', '+919340974001']"
Madhya Pradesh,Indore,Hospital Beds,,True,22.7038906,75.8118033,,Feel Hospital,['+918827514522']
Madhya Pradesh,Indore,Plasma / Blood,Blood group: Plasma,,22.7195687,75.8577258,Indore,,[]
Madhya Pradesh,Indore,Tiffin Services,,,22.7195687,75.8577258,Indore,Gokul Delights,['+919111112872']
Madhya Pradesh,Indore,Other,Notes: Sewa Vahan,,22.7195687,75.8577258,Indore,Shri Vaishnav Trust,['+919893777760']
Madhya Pradesh,Indore,Oxygen,Notes: Oxygen Refill,,22.7195687,75.8577258,Indore,,['+917415555965']
Madhya Pradesh,Indore,Hospital Beds,,True,22.7450451,75.8358243,,Anmol Hospital,['+919753555022']
Madhya Pradesh,Indore,Tiffin Services,Notes: Free,,22.7195687,75.8577258,Indore,Home Cooked Meals,['+919826268181']
Madhya Pradesh,Indore,Other,Notes: Sewa Vahan,,22.7195687,75.8577258,Indore,Sanstha Srijan,['+919425900678']
Madhya Pradesh,Indore,Oxygen,Notes: Home delivery,True,22.7209693,75.87410450000002,,Nitin Raghuvanshi,['+917240986073']
Madhya Pradesh,Indore,Hospital Beds,,True,22.7969535,75.8451565,,Aurobindo,['+917697102102']
Madhya Pradesh,Indore,Tiffin Services,,,22.7195687,75.8577258,Indore,Food Craft,['+919977400297']
Madhya Pradesh,Indore,Other,Notes: Sewa Vahan,,22.7195687,75.8577258,Indore,Maharashtra Samaj Tarun Manch,"['+919074378612', '+919826421460']"
Madhya Pradesh,Indore,Oxygen,,,22.8136201,75.8486932,Sanwer Road,Aadarsh Oxygen Pvt. Ltd.,"['+917312972786', '+919425056939']"
Madhya Pradesh,Indore,Hospital Beds,,True,22.7552299,75.86711079999999,,Bharat Hospital,['+919827279494']
Madhya Pradesh,Indore,Tiffin Services,,,22.719221,75.895383,"Geeta Bhawan, Palasia, Kanchan Bagh, Race Course, Saket, Tilak Nagar",Anuj Batra (Chef),['+919111120304']
Madhya Pradesh,Indore,Other,Notes: Sewa Vahan,,22.7195687,75.8577258,Indore,Ca Abhey Sharma,['+919827067732']
Madhya Pradesh,Indore,Oxygen,,,22.8136201,75.8486932,Sanwer Road,Rajesh Ji,['+919826500599']
Madhya Pradesh,Indore,Hospital Beds,,True,22.719566,75.857772,,Index Hospital,['+917314044715']
Madhya Pradesh,Indore,Tiffin Services,Notes: Free of cost,,22.7195687,75.8577258,All Over Indore,Tejaswi,['+918962285876']
Madhya Pradesh,Indore,Other,Notes: Sewa Vahan,,22.7195687,75.8577258,Indore,Suresh Pingle,['+919826900700']
Madhya Pradesh,Indore,Oxygen,,,22.6582837,75.7985431,Treasure Fantasy Market,Vivek Malviya,['+919826013383']
Madhya Pradesh,Indore,Hospital Beds,,True,22.7185573,75.8639256,,Mth,['+917312431023']
Madhya Pradesh,Indore,Tiffin Services,Notes: Free of cost,,22.7234046,75.8976893,Near Saket,Madhav Raj,['+919926017327']
Madhya Pradesh,Indore,Other,Notes: Sewa Vahan,,22.7195687,75.8577258,Indore,Sarvoday Aashram,['+919425063877']
Madhya Pradesh,Indore,Oxygen,,,22.6582837,75.7985431,Treasure Fantasy Market,Sunil Ji,['+919926600020']
Madhya Pradesh,Indore,Hospital Beds,,True,22.7145579,75.8802639,,New Chest Ward,['+918319875931']
Madhya Pradesh,Indore,Tiffin Services,Notes: -,,22.7082479,75.8757064,Within 3-4 Kms Of Chawani,Pratima Agrawal,['+918817526980']
Madhya Pradesh,Indore,Other,Notes: for covid affected,True,22.7280544,75.8383772,,Free Food & Groceries,['+918982708251']
Madhya Pradesh,Indore,Oxygen,,True,22.6815294,75.8631085,,Amarjeet,['+919425900817']
Madhya Pradesh,Indore,Hospital Beds,,True,22.7167372,75.88436109999999,,Vishesh,['+917314718111']
Madhya Pradesh,Indore,Tiffin Services,Notes: -,,22.7195687,75.8577258,All Over Indore,Luncheon,['+919926632000']
Madhya Pradesh,Indore,Other,,True,22.735488,75.8742529,,Pandey Ambulance Services,['+919755544464']
Madhya Pradesh,Indore,Oxygen,,True,22.7225052,75.8802576,,Kamal,['+918109490001']
Madhya Pradesh,Indore,Hospital Beds,,True,22.7293527,75.8186551,,S K Hospital,['+919806512233']
Madhya Pradesh,Indore,Tiffin Services,Notes: Free of cost,,22.7532848,75.8936962,Vijay Nagar And Nearby Areas,Arpit Kumar,['+919826364976']
Madhya Pradesh,Indore,Other,Notes: Doctors for Teleconsultation Available,True,14.8149269,78.2862866,,Dr. Sravya Gandikota,['+918008669166']
Madhya Pradesh,Indore,Oxygen,,True,22.6360045,75.8007081,,Narendra,['+919425056939']
Madhya Pradesh,Indore,Hospital Beds,,True,22.6953707,75.8386871,,Unique Hospital,['+919993702948']
Madhya Pradesh,Indore,Tiffin Services,Notes: Free of cost,,22.7195687,75.8577258,All Over Indore,Aniket Dubey,['+919575450058']
Madhya Pradesh,Indore,Oxygen,,True,22.7456476,75.9037599,,Sushi,['+919907373178']
Madhya Pradesh,Indore,Hospital Beds,Notes: only oxygen bed,True,22.7227757,75.8962785,,Eureka Hospital,['+917314703811']
Madhya Pradesh,Indore,Tiffin Services,,,22.6917042,75.83139299999999,Sudama Nagar And Nearby Areas,Rajesh Maheshwari,['+918889920572']
Madhya Pradesh,Indore,Oxygen,,True,22.7225219,75.85135950000002,,Piyush Bhatt,['+919425148289']
Madhya Pradesh,Indore,Hospital Beds,,True,22.7195687,75.8577258,,Maa Ahilya Covid Centre,['+917312583838']
Madhya Pradesh,Indore,Tiffin Services,,True,,,Rajen Nagar To Rau,Apoorva Chhatre,['+918878999184']
Madhya Pradesh,Indore,Oxygen,,True,22.7429163,75.88903379999999,,Lakhan Rajore,['+918878132971']
Madhya Pradesh,Indore,Hospital Beds,,True,22.7419107,75.8711924,,Dayanad Hospital,['+918109079346']
Madhya Pradesh,Indore,Tiffin Services,,,22.7195687,75.8577258,All Over Indore,Gokul Delights,['+919111112872']
Madhya Pradesh,Indore,Oxygen,,True,22.7196858,75.8466297,,Shailesh,"['+919826600085', '+919755577963']"
Madhya Pradesh,Indore,Hospital Beds,,True,22.732315,75.88987,,Dr. Amit Sarikwal,['+918989111177']
Madhya Pradesh,Indore,Tiffin Services,,,22.721661,75.832239,All Over Indore Except Near Airport Road,Book My Roti,['+918770077809']
Madhya Pradesh,Indore,Oxygen,Notes: Sai health care,True,22.734321,75.8945487,,Aman,['+916260127200']
Madhya Pradesh,Indore,Hospital Beds,,True,22.725729,75.89415,,Shri Ganesh Hospital,['+919039904069']
Madhya Pradesh,Indore,Tiffin Services,,,22.7195687,75.8577258,All Over Indore,Sindh Everfresh,['+919713640994']
Madhya Pradesh,Indore,Oxygen,,True,22.7441818,75.8958258,,Rishab,['+917049591406']
Madhya Pradesh,Indore,Hospital Beds,,,22.7134195,75.8773282,"Jawra Compound, Opp. My Hospital",Khurana Nursing Home,['+917314096075']
Madhya Pradesh,Indore,Tiffin Services,Notes: Free Meals & Ration Available,,22.7195687,75.8577258,All Over Indore,,"['+918109685564', '+919589112071', '+919131746192']"
Madhya Pradesh,Indore,Oxygen,,True,22.691683,72.86130299999999,,Sukh Mahi Foundation,['+917648842300']
Madhya Pradesh,Indore,Hospital Beds,,True,22.747896,75.84617949999999,,True Care Hospital,['+917000747458']
Madhya Pradesh,Indore,Oxygen,,True,22.7479088,75.89840459999999,,Siya Healthcare,['+918962414160']
Madhya Pradesh,Indore,Hospital Beds,,True,22.7401065,75.9740904,,Sevakunj Hospital,"['+917616618900', '+917316618902']"
Madhya Pradesh,Indore,Oxygen,,True,22.7557142,75.9463882,,Ravindra Potdar,['+919893071777']
Madhya Pradesh,Indore,Hospital Beds,,,22.71958,75.8875248,Manoramaganj,Mayank Hospital,[]
Madhya Pradesh,Indore,Oxygen,,True,22.7249818,75.8840634,,Gaurav Potdar,['+919893500400']
Madhya Pradesh,Indore,Hospital Beds,,,22.7026203,75.9181029,"Pipliyahan, Near Agarwal School",Masc Hospital,[]
Madhya Pradesh,Indore,Oxygen,,,22.6999225,75.8440284,Lal Bagh Main Road,Tajinder Singh Khanuja,"['+918818891313', '+918109259955']"
Madhya Pradesh,Indore,Hospital Beds,,,22.6838333,75.82929589999999,Gopur Chouraha,Aryan Hospital,['+917314206290']
Madhya Pradesh,Indore,Oxygen,,True,22.75393,75.90445,,Yogesh Rathi,['+919009525222']
Madhya Pradesh,Indore,Hospital Beds,Notes: Oxygen and isolation beds available,,22.7195687,75.8577258,Indore,Maharana Pratap Hospital,['+919039247248']
Madhya Pradesh,Indore,Oxygen,,True,22.707093,75.865674,,Sachin,['+919826328181']
Madhya Pradesh,Indore,Hospital Beds,Notes: Oxygen beds available,,22.7195687,75.8577258,Indore,Varnit Hospital,['+919977113341']
Madhya Pradesh,Indore,Oxygen,,True,22.7195687,75.8577258,,Chetan,['+919826038939']
Madhya Pradesh,Indore,Hospital Beds,Notes: Beds available for moderate patients,,22.7195687,75.8577258,Indore,Arthos Clinic,['+919009588890']
Madhya Pradesh,Indore,Oxygen,,True,22.7054596,75.8451851,,Khalsa Gasses,['+918109259955']
Madhya Pradesh,Indore,Hospital Beds,"Notes: ICU beds(without ventilator), Oxygen beds, Isolation beds available.",,22.7195687,75.8577258,Indore,Sai Hospital,['+916263167237']
Madhya Pradesh,Indore,Oxygen,,True,22.7435586,75.83698969999999,,Shailendra,['+919826600085']
Madhya Pradesh,Indore,Hospital Beds,Notes: Isolation beds available without oxygen or ICU.,,22.7195687,75.8577258,Indore,Sk Hospital,['+919449979334']
Madhya Pradesh,Indore,Oxygen,,True,22.7317991,75.87409219999999,,Piyush Goyal,['+919303238651']
Madhya Pradesh,Indore,Hospital Beds,Notes: Oxygen beds available.,,22.7195687,75.8577258,Indore,Pramita Hospital,['+919826727923']
Madhya Pradesh,Indore,Oxygen,,True,22.6825815,75.8368713,,Coin Seva Trust,['+917312796611']
Madhya Pradesh,Indore,Hospital Beds,Notes: Oxygen beds available,,22.7195687,75.8577258,Indore,True Care Hospital,['+918989250011']
Madhya Pradesh,Indore,Oxygen,,True,22.698518,75.8780439,,Dheeraj,['+919893954001']
Madhya Pradesh,Indore,Hospital Beds,Notes: Oxygen bed available,,22.7195687,75.8577258,Indore,Riya Hospital,['+919425350418']
Madhya Pradesh,Indore,Oxygen,,True,22.7225219,75.85135950000002,,Piyush Bhatt,['+919425148289']
Madhya Pradesh,Indore,Hospital Beds,,,22.7195687,75.8577258,Indore,,[]
Madhya Pradesh,Indore,Oxygen,,True,22.762966,75.85205599999999,,Shivam Gases,['+919300080066']
Madhya Pradesh,Indore,Hospital Beds,,,22.7195687,75.8577258,Indore,,[]
Madhya Pradesh,Indore,Oxygen,,True,22.7396974,75.9000973,,Jeetu,['+919425082637']
Madhya Pradesh,Indore,Hospital Beds,,,22.7925458,75.9049493,"Panchvati Colony, Indore",Sunrise Hospital,['+919993123559']
Madhya Pradesh,Indore,Oxygen,,True,22.7195687,75.8577258,,Jeetu Balanii,['+918770100518']
Madhya Pradesh,Indore,Hospital Beds,Notes: Seema Khandelwal,,22.7195687,75.8577258,Indore,Aaryan Hospital And Research Center,['+919111156334']
Madhya Pradesh,Indore,Oxygen,,True,22.726236,75.87862299999999,,Bhanu,['+919174004526']
Madhya Pradesh,Indore,Hospital Beds,,,22.7165683,75.91450669999999,"1, Bicholi Hapsi Rd, Shiv Shakti Nagar, Vaibhav Nagar Sector A",Samyak Hospital,['+919329399456']
Madhya Pradesh,Indore,Oxygen,,True,22.7081955,75.8824423,,Raj Thakur,['+919753100200']
Madhya Pradesh,Indore,Hospital Beds,,,22.6336311,75.80529779999999,"2, Rau Station Rd, Near Railway Station, Kb Colony, Rau",New Minesh Hospital,['+917314201300']
Madhya Pradesh,Indore,Oxygen,,True,22.7180095,75.8809596,,Rajat Choudhary,['+917879228006']
Madhya Pradesh,Indore,Hospital Beds,Notes: ICU Bed,,22.6818736,75.9178495,Nemawar Road,Sai Kripa Hospital,[]
Madhya Pradesh,Indore,Oxygen,,True,18.5704513,73.9566028,,Shubham Jadhav,['+919977939501']
Madhya Pradesh,Indore,Hospital Beds,,,22.6818736,75.9178495,Nemawar Road,Sms Energy Hospital,['+919826064425']
Madhya Pradesh,Indore,Oxygen,,True,22.773929,75.90226930000001,,Kamal Juneja,['+918109490001']
Madhya Pradesh,Indore,Oxygen,Notes: Bring empty cylinder and get it refilled,,22.762966,75.85205599999999,"38/A, Narwal Sanwer Rd, Saidham Colony, Sector C, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452003, India",Shivam Gases,['+919300080066']
Madhya Pradesh,Indore,Hospital Beds,,,22.720542,75.8419112,Bada Ganpati,Sk Hospital,['+919449979334']
Madhya Pradesh,Indore,Oxygen,Notes: Bring empty cylinder and get it refilled,,22.777913,75.8584673,"Mr 10, Kurmedi Gaav",Trivedi Ji,['+919755502300']
Madhya Pradesh,Indore,Hospital Beds,Notes: Oxygen beds available,True,22.7509598,75.9045498,,Arthros Hospital,['+919425022217']
Madhya Pradesh,Indore,Oxygen,Notes: Bring empty cylinder and get it refilled,,22.7195687,75.8577258,Supplied Within 3 Hours In Every Corner Of Indore,Pritesh Jindal,['+919827233147']
Madhya Pradesh,Indore,Hospital Beds,Notes: Oxygen beds available,True,22.7340594,75.8717175,,Charak Hospital,['+919425319797']
Madhya Pradesh,Indore,Oxygen,Notes: Bring empty cylinder and get it refilled,,22.7808536,75.8623868,"Mr 10, Near Nirvana Garden",Dheeraj,['+919893954001']
Madhya Pradesh,Indore,Hospital Beds,Notes: Oxygen beds available,True,22.7127371,75.8787127,,Karuna Nursing Home,['+917314096075']
Madhya Pradesh,Indore,Oxygen,Notes: Bring empty cylinder and get it refilled,,22.7902727,75.84707039999999,Lav Kush Chouraha,Ravindra Potdar,['+919893071777']
Madhya Pradesh,Indore,Hospital Beds,,True,22.6372845,75.81424439999999,,Multani Hospital,['+919755521555']
Madhya Pradesh,Indore,Oxygen,Notes: Cylinder and refill,,22.7273888,75.8838712,Delivered To Patient,Ashar Ji Oxyc,['+917869478666']
Madhya Pradesh,Indore,Oxygen,Notes: Bring empty cylinder and get it refilled,,22.7530847,75.8868403,"Near Mr 10, Khaatipurra",Raj Thakur,['+919753100200']
Madhya Pradesh,Indore,Oxygen,Notes: Bring empty cylinder and get it refilled,True,22.773929,75.90226930000001,,Kamal Juneja,['+918109490001']
Madhya Pradesh,Indore,Oxygen,Notes: Cylinder and refill,,22.6825772,75.83687669999999,Dashrath Ashram Chankyapuri,Gold Coin Seva Trust,['+917312796611']
Madhya Pradesh,Indore,Oxygen,Notes: Bring empty cylinder and get it refilled,True,22.7000545,75.84709420000002,"11, Lal Bagh, Main Rd, Indore, Madhya Pradesh 452009",Khalsa Gasses,['+919039960599']
Madhya Pradesh,Indore,Oxygen,Notes: Cylinder and refill,,22.7195687,75.8577258,Sawer Road (Delivered To Patient),Nitin Raghuvanshi,['+917240986073']
Madhya Pradesh,Indore,Oxygen,Notes: Bring empty cylinder and get it refilled,,22.7217907,75.82288989999999,Kalani Nagar,Jiwan Rekha Rakt Dan Samooh,['+919907373178']
Madhya Pradesh,Indore,Oxygen,Notes: Bring empty cylinder and get it refilled,,22.7898204,75.8472836,"Near Luv-Khush Square, Vinayak Toll, Indore",Himanshu Oxygen,['+917898587709']
Madhya Pradesh,Indore,Oxygen,Notes: Cylinder and refill,,22.7195687,75.8577258,Indore,Chinmay,['+919179275291']
Madhya Pradesh,Indore,Oxygen,Notes: Oxygen concentrator,,22.7236725,75.90380560000001,Telephone Nagar,Oxy Bank,['+918827867688']
Madhya Pradesh,Indore,Oxygen,Notes: Devendra ji,True,22.7480073,75.8942379,,Rusoma Labs,['+919425102401']
Madhya Pradesh,Indore,Oxygen,,,22.651648,75.8065252,"Treasure Fantacy Market, Cat Road",Vicky Malviya,['+919826013383']
Madhya Pradesh,Indore,Oxygen,,,22.7053847,75.8437652,Mhow Naka,Rajendra Ji,['+919826500599']
Madhya Pradesh,Indore,Oxygen,,,22.7195885,75.8576132,Near Aurobindo Hospital,Sushil Ji,['+919907373178']
Madhya Pradesh,Indore,Oxygen,,,22.7195687,75.8577258,All Over Indore,Nitin Raghuvansi,['+917240986073']
Madhya Pradesh,Indore,Oxygen,,True,22.7587602,75.85208349999999,"Adarsh Oxygen Pvt Ltd, Plot No. 42-43 Sector D2 Sanver Road, Indore",Iliyaas,['+919826020135']
Madhya Pradesh,Indore,Oxygen,,,22.7032373,75.8725295,"Gupta Industries Near Vinayak Tol Kaanta Sanwer Road, Indore, Madhyapradesh",Amarjeet,['+919425900817']
Madhya Pradesh,Indore,Oxygen,Notes: OXYGEN CONCENTRATOR,,22.7134701,75.8803582,My Hospital Indore,Sahayta Medical,['+917697654154']
Madhya Pradesh,Indore,Oxygen,Notes: Free of cost,,22.6996933,75.86727979999999,Sapna Sangeeta,Mic Organisation India,['+918959228549']
