Name,Original Entry Timestamp,Verified Timestamp,Description,Services,Phone Numbers,State,City,Location
Tulika's Kitchen,,2021-04-23 23:21:55.960,Ghaziabad and Indirapuram,Food,['+919810710272'],Delhi,,
SHIPRA,,2021-04-23 23:21:55.960,"LAJPAT, NAGAR",Food,['+919810774958'],Delhi,,
Neha Singh ,,2021-04-23 23:21:55.960,"Gurgaon, Sohna Road",Food,['+919810861623'],Delhi,,
Mehak Khullar,,2021-04-23 23:21:55.960,South Delhi,Food,['+919811181271'],Delhi,,
Rashmi Chandra,,2021-04-23 23:21:55.960,Gurgaon,Food,['+919811201254'],Delhi,,
RITU ,,2021-04-23 23:21:55.960,PRASHANT VIHAR,Food,['+919818254051'],Delhi,,
Manisha's kitchen,,2021-04-23 23:21:55.960,Sarita Vihar And Jasola,Food,['+919818643182'],Delhi,,
THE HOUSE OF KITCHENS,,2021-04-22 14:42:54.979,RAKHI (GK2),Food,['+919818643430'],Delhi,,
NIL,,2021-04-23 23:21:55.960,Noida,Food,['+919870509172'],Delhi,,
Swati Sharad ,,2021-04-23 23:21:55.960,"Gurgaon DLF Phase 1,2,3,4,5",Food,['+919871225514'],Delhi,,
"Roopali Malhotra, Rajat",,2021-04-23 23:21:55.960,"East Delhi, Noida, Ghaziabad",Food,['+919871323372'],Delhi,,
PRABHJOT KAUR,,2021-04-23 23:21:55.960,RAJOURI GARDEN,Food,['+919871559925'],Delhi,,
Ruby,,2021-04-23 23:21:55.960,East Delhi,Food,['+919873939959'],Delhi,,
Ashwani Shroff ,,2021-04-23 23:21:55.960,ALL OVER DELHI,Food,['+919899009779'],Delhi,,
Ashok Batra,,2021-04-22 14:42:54.979,,Food,,Delhi,,
Richa Milan ,,2021-04-23 23:21:55.960,"Gurgaon , Sohna Road Sector 49-56",Food,['+919910110739'],Delhi,,
VINUM GUPTA,,2021-04-23 23:21:55.960,GURGAON,Food,['+919910274260'],Delhi,,
Ruchi ,,2021-04-22 14:42:54.979,"Around New friends Colony, Delhi",Food,['+919910523717'],Delhi,,
NIL,,2021-04-23 23:21:55.960,Noida,Food,['+919911059317'],Delhi,,
MARWADI KHANNA,,2021-04-23 23:21:55.960,GURGAON,Food,['+919958983606'],Delhi,,
Harneet Kaur ,,2021-04-23 23:21:55.960,Lajpat Nagar,Food,['+919971654051'],Delhi,,
SNIGDHA,,2021-04-27 17:08:26.057,"GULMOHAR PARK, HAUZ KHAS, GREEN PARK",Food,['+919971767771'],Delhi,,
Sabhyata,,2021-04-23 23:21:55.960,Greater Noida,Food,['+919971793293'],Delhi,,
Covifeed (Simmi Malhotra),,2021-04-27 16:52:33.065,Delhi,Food,['+919971886733'],Delhi,,
KRISHNA TIFFIN SERVICE,,2021-04-23 23:21:55.960,ROHINI & PITAMPURA,Food,['+919990569633'],Delhi,,
Leina,,2021-04-27 16:44:27.203,Gurgaon: All Over,Food,['+919999208992'],Delhi,,
Mrinali,,2021-04-23 23:21:55.960,Panchsheel Park,Food,['+919999215777'],Delhi,,
DELIVERY KITCHEN,,2021-04-23 23:21:55.960,All over Delhi NCR,Food,['+919999298091'],Delhi,,
Kaveri,,2021-04-23 23:21:55.960,Dwarka,Food,['+919999356846'],Delhi,,
RENU ANEJA,,2021-04-23 23:21:55.960,NORTH DELHI,Food,['+919999861511'],Delhi,,
Asheesh,,2021-04-23 23:21:55.960,Noida,Food,['+919999910097'],Delhi,,
Seema,,2021-04-23 23:21:55.960,Faridabad,Food,['+919999968305'],Delhi,,
Rituparna Borah,,2021-04-27 16:15:24.039,Delhi,Food,['+919999977272'],Delhi,,
Savitri ngr medical store,,2021-05-07 19:38:12.430,fabi flu,Medicine,['+919711362823'],Delhi,,
Deepak Oxygen Cylinders,,2021-05-21 09:18:13.988,They ship oxygen cylinders to all over Delhi from Chandigarh. Same day or next day delivery. ,Oxygen,['+916284206031'],Delhi,,
Simranjeet Saluja,,2021-05-01 07:23:34.862,Oxygen concentrators are available on pre-booking. New stock comes on May 8. Price: 1.35 lacs,Oxygen,['+917008139137'],Delhi,,
Prashant Oxygen Cylinder,,2021-05-08 08:37:33.056,"Noida Sector 45 Not picking up Oxygen concentrator available, but can supply only in limited quantity.",Oxygen,['+917011974341'],Delhi,,
Oxygen,,2021-05-08 08:40:01.304,New Delhi railway station gate no. 1 Not responsive Supply available.,Oxygen,['+917011980895'],Delhi,,
Chirag Bajaj,,2021-04-30 09:54:51.494,"Oxygen concentrators are available from 11 PM tonight (April 28). 9 liters will cost 1,05,000. Working, can call ",Oxygen,['+917021400602'],Delhi,,
Nikhil/Rishabh,,2021-04-30 09:57:25.988,Provides oxygen concentrators. Charges 1.3 lacs for 7-liter oxygen capacity. A friend bought it from this vendor on April 30 at 1 AM. Called and verified availability today (April 30) at 10:25 AM. concentrators available,Oxygen,['+917289060005'],Delhi,,
Kishore (Oxygen),,2021-05-21 09:53:51.840,Delhi Not answering Refill available.,Oxygen,['+917503414365'],Delhi,,
VIjay Sharma,,2021-04-30 10:14:22.797,"  This person delivers Oxygen cans to anyonr who lives within Delhi.  Delivery all over Delhi, Oxygen cans available",Oxygen,['+917678645199'],Delhi,,
Deep Kumar (Gurugram),,2021-04-23 11:53:48.841,,Oxygen,,Delhi,,
Ambika Surgicare,,2021-05-03 06:50:17.800,Dwarka  ,Oxygen,['+917947210671'],Delhi,,
Oxygen Concentrators,,2021-04-28 05:32:57.274,Delhi,Oxygen,['+918076299434'],Delhi,,
Sanjay,,2021-04-23 22:23:52.000,"Naraina Vihar, Phase-1",Oxygen,['+918076915650'],Delhi,,
Abhishek,,2021-04-23 23:22:53.000,"Delivers across Delhi, has 2-3 cylinders left. Delivery charge per cylinder is 500 rupees",Oxygen,['+918268588959'],Delhi,,
Neeraj,,2021-04-26 08:43:38.438,oxygen cylinder,Oxygen,['+918287777534'],Delhi,,Faridabad
Aditya Chahan,,2021-04-23 23:22:53.000,oxygen refill only,Oxygen,['+918447415165'],Delhi,,
Oxygen Cylinder,,2021-04-29 10:02:39.446,Delhi Not available at present.,Oxygen,['+918527030981'],Delhi,,
Ritik ,,2021-04-26 08:45:34.466,,Oxygen,,Delhi,,
Oxygen Cylinder,,2021-04-29 10:47:40.319,Kalka ji ,Oxygen,"['+918595847136', '+919810835861', '+919971886644', '+919818383338', '+911126449020']",Delhi,,
Satyam Gases ,,2021-04-26 10:04:18.923,Gurugram,Oxygen,['+918700044612'],Delhi,,
Bunty,,2021-04-29 10:10:39.866,"Pitampura Oxygen concentrators available from today afternoon. Agrawal city mall, Pitampura",Oxygen,['+918700771149'],Delhi,,
abhishek,,2021-04-23 22:23:52.000,Ballabhgarh (Faridabad),Oxygen,['+918708213298'],Delhi,,
sukhvinder singh,,2021-04-23 22:23:52.000,,Oxygen,['+918743014143'],Delhi,,
,,2021-04-23 23:22:53.000,refill,Oxygen,['+918745917001'],Delhi,,
Cylinder & Cans,,2021-04-29 10:13:00.022,"  Oxygeb cylinder maybe available from tonight. Location: Shahdra, Delhi",Oxygen,['+918750829088'],Delhi,,
Sardar Patel center ,,2021-05-05 06:06:25.114,You must have +ve report of Covid. Oxygen level ›= 88 You must have Adhaar Card. ,Oxygen,['+918800497000'],Delhi,,
portable cans,,2021-04-22 14:42:54.979,(12ltr -300 puffs),Oxygen,['+918810311034'],Delhi,,
oxygen cylinder,,2021-04-23 22:23:52.000,Kalkanji,Oxygen,['+918826513407'],Delhi,,
jas angad singh,,2021-04-23 22:23:52.000,,Oxygen,['+918860160001'],Delhi,,
Brig. Premjit Singh,,2021-04-23 23:22:53.000,"If spo2 is less than 83, whatsapp only",Oxygen,['+918860328112'],Delhi,,
Gaurav,,2021-04-23 23:22:53.000,empty cylinder,Oxygen,['+918860383713'],Delhi,,
Air care oxygen store,,2021-04-23 22:23:52.000,North Delhi,Oxygen,"['+918860507476', '+919871179853']",Delhi,,
ROHIT,,2021-04-27 15:34:33.107,,Oxygen,,Delhi,,
Delhi,,2021-04-23 22:23:52.000,"40 ft road, Jasola, Shaheen bath",Oxygen,['+918882264290'],Delhi,,
Oxygen Concentrators,,2021-04-23 22:23:52.000,Delhi,Oxygen,['+919007090388'],Delhi,,
,,2021-04-23 23:22:53.000,free refill available,Oxygen,['+919013525539'],Delhi,,Moti Mahal Daryaganj near Masjid
Supplier,,2021-04-29 10:25:54.105,  Oxygen concentrator supplier. Expecting supply only May 5th. Location:Jhilmil industrial area.,Oxygen,['+919015622382'],Delhi,,
,,2021-04-23 23:22:53.000,oxygen refill only,Oxygen,['+919097041313'],Delhi,,"Kirti nagar, indirapuram"
Khalsa Help International,,2021-05-01 05:55:03.009,"Patients can go to the Gurudwara in their cars, and the NGO will provide oxygen at the venue. The number mentioned above is their helpline number. ",Oxygen,['+919097413313'],Delhi,,
Khalsa Aid,,2021-05-09 04:45:37.630,"This is their official support. For oxygen concentrators, you must fill this form: https://forms.gle/cJF9DRha2YAhTDsLA  ",Oxygen,['+919115609005'],Delhi,,
Manoj- refill,,2021-04-23 22:23:52.000,"metro pillar no. 690, Uttam Nagar west",Oxygen,['+919136219936'],Delhi,,
oxygen cylinders,,2021-04-23 22:23:52.000,Dwarka,Oxygen,['+919149308570'],Delhi,,
Ravinder Billu,,2021-04-23 22:23:52.000,Kanjhawala Industrial Area,Oxygen,['+919212235075'],Delhi,,
Nanak Pio Gurudwaraa,,2021-04-23 22:23:52.000,Delhi,Oxygen,['+919212277704'],Delhi,,
,,2021-04-23 23:22:53.000,,Oxygen,['+919212504786'],Delhi,,Delhi
Refill ,,2021-04-26 10:08:11.713,,Oxygen,,Delhi,,
Cylinders ,,2021-04-26 10:01:12.309,,Oxygen,,Delhi,,
,,2021-04-23 23:22:53.000,concentrator,Oxygen,['+919315137189'],Delhi,,
Arvind Jain,,2021-05-01 07:59:40.004,Oxygen cylinders in Delhi,Oxygen,['+919315686858'],Delhi,,
sewa bharti,,2021-04-23 22:23:52.000,ashok vihar,Oxygen,['+919319094933'],Delhi,,
Naresh Gupta,,2021-04-23 22:23:52.000,Mundka,Oxygen,['+919350232667'],Delhi,,
Oxygen concentrator,,2021-04-23 22:23:52.000,"Plot no. 20&21, khasra no. 7/14, opposite metro pillar no. 818, Hari Vihar, Kakrola, Dwarka",Oxygen,['+919518683163'],Delhi,,
oxygen refilling,,2021-04-23 22:23:52.000,Delhi,Oxygen,['+919540787937'],Delhi,,
Anonymous,,2021-04-25 14:06:39.000,mobile is switched off due to high demand... kindly whatsapp,Oxygen,['+919540803880'],Delhi,,
OxygenCylinder,,2021-04-26 10:08:34.972,,Oxygen,,Delhi,,
Oxygen concentrator,,2021-04-23 22:23:52.000,,Oxygen,['+919557559409'],Delhi,,
Oxygen Cylinder,,2021-04-23 22:23:52.000,Janakpuri,Oxygen,['+919560330232'],Delhi,,
Santosh,,2021-04-23 22:23:52.000,Delhi,Oxygen,['+919560364696'],Delhi,,
Little India Foundation (5-6 hours waiting),,2021-04-23 22:23:52.000,South Delhi,Oxygen,['+919560688867'],Delhi,,
Pearl- refills,,2021-04-23 22:23:52.000,,Oxygen,['+919582392233'],Delhi,,
Inderjeet Oxygen,,2021-05-03 06:51:52.206,abhi out of stock hai ...kal wapis restock ho jayegi ,Oxygen,['+919599450350'],Delhi,,
NK Healthtech international,,2021-04-23 22:23:52.000,,Oxygen,['+919628831824'],Delhi,,
Hum Tum Enterprises,,2021-04-30 10:00:54.395,They provide oxygen concentrators. Oxygen concentrators available -->  PRODUCT AVAILABLE FOR PICKUP ON 1st MAY NOON.  DELIVERY AVAILABLE ON 1st MAY LATE EVENING OR THE NEXT DAY NOON.  TERMS  Pickup 20% advance from Jasola Delhi.  Home Delivery 50% the advance. NO COD  -- would you wish to proceed further!!                                              COST- 1-7 Litres ADJUSTABLE-50K                                                                                                                                                                                     10 LTR -90K        5 LTR INDIAN-75K                                                                                                                                                                    FULL REFUND WITHIN 7 DAYS  IF NOT DISPATCH BY ANY CHANCE,Oxygen,['+919643148179'],Delhi,,
Karan Oxygen Cylinder,,2021-04-23 22:23:52.000,Janakpuri,Oxygen,['+919650066175'],Delhi,,
Saurabh,,2021-04-23 22:23:52.000,Yamuna Vihar,Oxygen,['+919650715529'],Delhi,,
Ventilators,,2021-04-23 22:23:52.000,Rohini,Oxygen,['+919654535285'],Delhi,,
,,2021-04-23 23:22:53.000,"only whatsapp, concentrator available",Oxygen,['+919667221130'],Delhi,,
Oxygen Cylinder,,2021-04-23 22:23:52.000,Delhi,Oxygen,['+919711143834'],Delhi,,
Vishal Kapoor,,2021-04-27 15:54:12.792,Provides oxygen concentrators. Out of stock right now.,Oxygen,['+919717054738'],Delhi,,
Rahul,,2021-04-22 14:42:54.979,,Oxygen,,Delhi,,
Rishabh Malik,,2021-04-29 10:43:04.920,"Jankapuri Keeps stock of oxygen cans but only 20-25 cans and they are mostly booked. But someone in dire need can try. Location: Uttam Nagar, Janakpuri.",Oxygen,['+919718700388'],Delhi,,
manoj,,2021-04-23 22:23:52.000,,Oxygen,[],Delhi,,
Aditya Oxygen Supply Concentrator,,2021-04-29 10:46:45.481,Delhi Expecting oxygen concentrator delivery on May 4th. Will deliver within Delhi on pre-booking basis.,Oxygen,['+919771499591'],Delhi,,
Abrar Ahmad,,2021-04-22 14:42:54.979,,Oxygen,,Delhi,,
Javed Ahmed Oxygen,,2021-04-23 22:23:52.000,"Zakir Nagar, Okhla",Oxygen,['+919808822111'],Delhi,,
Manish Gupta,,2021-05-01 06:20:15.053,"Provides oxygen concentrators, but needs to be pre-booked. Price: 33,000 for 7 litre device As of now, it's out of stock. But you can book and get it delivered on May 12.",Oxygen,['+919810008694'],Delhi,,
Oxygen concentrator,,2021-04-23 22:23:52.000,,Oxygen,['+919810061827'],Delhi,,
Vinayak Enterprise,,2021-04-23 22:23:52.000,Sahibabaad,Oxygen,['+919810081173'],Delhi,,
